Timestamp,Gender,Age,Location,Time of class (pm),Duration (min)
1/3/2022 19:09:29,Male,16-30,Pakistan,10:30,60
1/3/2022 19:09:33,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:33,Male,16-30,Pakistan,10:00,30
1/3/2022 19:09:33,Male,30-40,Pakistan,09:30,30
1/3/2022 19:09:34,Male,16-30,East,09:30,60
1/3/2022 19:09:35,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:35,Male,30-40,Pakistan,10:30,45
1/3/2022 19:09:35,Male,16-30,West,10:30,30
1/3/2022 19:09:35,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:36,Male,30-40,Pakistan,10:30,45
1/3/2022 19:09:36,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:38,Male,16-30,Pakistan,10:30,60
1/3/2022 19:09:38,Male,16-30,Pakistan,09:30,30
1/3/2022 19:09:39,Male,16-30,East,09:30,45
1/3/2022 19:09:39,Female,30-40,Pakistan,09:30,60
1/3/2022 19:09:40,Male,16-30,West,10:30,45
1/3/2022 19:09:40,Female,16-30,Pakistan,10:30,60
1/3/2022 19:09:40,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:40,Male,30-40,Pakistan,10:30,60
1/3/2022 19:09:41,Female,16-30,East,09:30,45
1/3/2022 19:09:41,Male,16-30,Pakistan,09:30,30
1/3/2022 19:09:41,Male,30-40,Pakistan,10:30,60
1/3/2022 19:09:42,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:42,Female,16-30,Pakistan,10:00,45
1/3/2022 19:09:42,Male,16-30,Pakistan,10:30,60
1/3/2022 19:09:43,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:43,Male,>50,Pakistan,10:30,60
1/3/2022 19:09:43,Male,30-40,Pakistan,10:00,45
1/3/2022 19:09:43,Male,16-30,Pakistan,10:00,30
1/3/2022 19:09:43,Male,30-40,East,09:30,60
1/3/2022 19:09:43,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:43,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:44,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:44,Male,30-40,West,10:00,45
1/3/2022 19:09:44,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:44,Female,16-30,Pakistan,09:30,45
1/3/2022 19:09:45,Female,16-30,West,10:30,45
1/3/2022 19:09:45,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:45,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:45,Male,16-30,West,10:30,30
1/3/2022 19:09:45,Male,30-40,Pakistan,10:00,45
1/3/2022 19:09:46,Female,16-30,Pakistan,10:30,60
1/3/2022 19:09:46,Male,16-30,East,09:30,45
