Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","tonnes","41659","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1961","1961","tonnes","500","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1962","1962","tonnes","210","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","tonnes","41160","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","tonnes","67620","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1963","1963","tonnes","630","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1964","1964","tonnes","1029","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","tonnes","84147","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","tonnes","69242","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1965","1965","tonnes","1245","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1966","1966","tonnes","3911","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1966","1966","tonnes","107779","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1966","1966","tonnes","144","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1967","1967","tonnes","212","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","tonnes","177441","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1967","1967","tonnes","12777","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1968","1968","tonnes","38642","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","tonnes","203521","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1968","1968","tonnes","2486","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1969","1969","tonnes","1344","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","tonnes","272566","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1969","1969","tonnes","33801","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1970","1970","tonnes","30462","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","tonnes","251519","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1970","1970","tonnes","1225","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
