age,weight,gender,height,likeness
27,76,Male,170.688,Biryani
41,70,Male,165,Biryani
29,80,Male,171,Biryani
27,102,Male,173,Biryani
29,67,Male,164,Biryani
28,46,Female,174,Biryani
27,64.3,Female,151,Biryani
34,98,Male,176.5,Biryani
32,87.5,Male,181,Biryani
22,80,Male,184.5,Biryani
29,65,Male,163.5,Pakora
29,78,Male,176,Samosa
23,62,Male,178,Samosa
28,74,Male,168,Biryani
25,102,Male,165,Biryani
27,78,Male,174,Samosa
33,93,Male,162,Biryani
28,68,Male,176.5,Samosa
21,71.5,Male,172,Biryani
25,135,Male,185.9,Biryani
24,82,Male,183,Samosa
30,70,Female,165,Biryani
30,60,Male,169,Pakora
32,84.5,Male,171,Biryani
30,65,Female,154.5,Biryani
25,70,Male,178,Biryani
34,59,Male,171,Pakora
32,78,Male,165,Biryani
24,68,Male,173,Biryani
30,62,Female,161.544,Biryani
21,58,Female,155,Samosa
31,102.3,Male,173.7,Biryani
22,64,Male,162.5,Samosa
19,50,Male,164,Samosa
30,75,Male,164,Samosa
27,77,Male,170,Biryani
34,82.72,Male,177.8,Samosa
24,93,Male,177,Biryani
26,55,Male,164.5,Samosa
22,50,Male,155,Biryani
35,75,Female,165,Biryani
27,64,Male,176,Pakora
27,85,Male,186,Biryani
27,65,Male,155.4,Biryani
30,84,Male,178.5,Pakora
44,85,Male,155.7,Biryani
23,53,Male,165,Samosa
48,90,Female,158.5,Samosa
28,79,Male,182,Pakora
24,68,Male,170,Biryani
40,85,Male,182,Samosa
32,79,Male,182,Biryani
29,50.9,Female,176.7,Biryani
27,68.5,Male,167.6,Biryani
26,130,Male,172.72,Samosa
30,63,Male,180,Samosa
27,93,Male,172,Biryani
23,59,Male,170.68,Biryani
28,76,Male,172,Biryani
22,76,Male,175,Biryani
23,60,Male,186,Biryani
26,63,Male,181,Biryani
30,60,Male,164,Biryani
31,75,Male,173,Biryani
30,70,Male,183,Biryani
21,65,Male,185,Samosa
20,70,Male,152.4,Biryani
26,55,Female,154,Biryani
35,65,Male,170,Biryani
38,72.6,Male,13.7,Pakora
27,55,Male,176,Pakora
27,46,Female,170,Biryani
38,62,Female,160,Biryani
25,72.5,Male,173.3,Biryani
25,55.5,Male,180,Biryani
24,70,Male,179,Biryani
24,86,Male,5.7,Biryani
22,52,Male,182.88,Biryani
25,43,Female,172,Samosa
32,61.5,Male,155.48,Biryani
22,76,Male,180,Biryani
27,60,Female,160,Biryani
22,62,Male,182.88,Biryani
37,77,Male,167.64,Biryani
30,65,Female,167.6,Biryani
27,50,Male,163,Pakora
33,91,Male,182,Biryani
25,75,Male,168,Pakora
38,81.5,Male,173.75,Biryani
25,88,Male,183,Samosa
21,60,Male,170,Samosa
31,86,Male,164.2,Biryani
24,87,Male,173,Biryani
25,70,Male,175,Biryani
18,55.6,Male,176,Biryani
24,86,Male,170.18,Pakora
35,82,Male,173,Biryani
44,70,Male,176.78,Biryani
30,60,Female,165,Pakora
32,50,Male,169.1,Biryani
25,62,Male,181,Pakora
29,71,Male,180,Biryani
24,55,Male,175,Biryani
29,78,Male,179,Pakora
35,72,Male,164,Biryani
46,75,Male,164.6,Samosa
32,10.92,Male,176,Biryani
27,57,Female,164.5,Samosa
25,90,Male,150.5,Biryani
29,65,Female,167.64,Pakora
37,68,Male,179.832,Biryani
32,74,Male,170.5,Biryani
20,52,Male,170.6,Biryani
32,51,Female,157.48,Biryani
28,76,Male,181,Pakora
27,82,Male,170,Samosa
30,75,Male,170.5,Biryani
31,86,Male,189,Pakora
27,80,Male,178,Pakora
27,51,Male,176,Samosa
29,78,Male,180,Biryani
20,54,Male,176,Pakora
31,85,Male,179.5,Biryani
27,58,Female,167.5,Biryani
68,68,Male,180,Pakora
40,97,Male,173.7,Pakora
24,66,Male,167.64,Biryani
25,47,Female,150.5,Biryani
24,65,Male,179,Biryani
26,60,Male,161.3,Samosa
30,90,Male,166,Biryani
31,40,Female,148,Biryani
36,62,Male,167.5,Biryani
30,65,Male,170,Biryani
19,55.2,Male,167.64,Biryani
23,71,Male,176,Samosa
25,55,Male,170.68,Biryani
27,54,Male,167,Pakora
28,161,Male,173,Samosa
39,102,Male,155.448,Biryani
43,85,Male,182.8,Samosa
25,59,Male,170.688,Biryani
28,83,Male,191.5,Biryani
28,46,Female,162.56,Biryani
20,53,Female,175,Biryani
23,62,Female,173.736,Biryani
25,55,Male,168,Biryani
26,76,Male,174.1,Samosa
31,68,Male,164.6,Samosa
32,57,Male,167.64,Biryani
21,81,Male,180.33,Biryani
31,80,Male,182.5,Biryani
28,68,Male,179,Biryani
28,63.4,Male,175,Samosa
27,67,Male,177.8,Biryani
24,50,Female,152.4,Biryani
19,50.4,Male,180,Biryani
34,58,Male,133.7,Biryani
22,67,Male,181,Biryani
27,75,Male,152.4,Biryani
31,86,Male,179.5,Pakora
33,86,Male,169,Biryani
33,46.7,Female,158.5,Biryani
21,45,Female,165.1,Biryani
29,6,Female,154.5,Biryani
21,62,Male,166,Biryani
26,90,Male,188,Biryani
27,101,Male,186,Biryani
42,179,Male,170,Biryani
25,88,Male,182,Biryani
29,73,Male,179,Samosa
21,50,Male,172,Samosa
44,78,Male,172,Biryani
28,84,Male,177.8,Biryani
30,67,Male,180,Biryani
40,71,Male,165,Pakora
28,96,Male,173,Biryani
26,70,Male,176,Biryani
30,88,Male,178,Samosa
29,84,Male,182,Biryani
26,90,Male,164.59,Biryani
50,88,Male,188,Biryani
35,75,Male,179.8,Pakora
31,86,Male,179.5,Samosa
24,82,Male,175,Biryani
21,68,Male,180,Biryani
39,53,Male,157,Pakora
30,73.8,Male,170.18,Pakora
32,80,Male,570,Biryani
29,74,Male,165,Biryani
27,80,Male,175,Biryani
31,54,Female,166,Biryani
27,62,Male,145.5,Biryani
25,64,Male,164,Samosa
34,82,Male,175,Pakora
40,80,Male,186,Biryani
34,79,Male,175.5,Samosa
20,40,Female,176,Biryani
32,74,Male,173,Biryani
34,98,Male,176.5,Biryani
31,86,Male,172,Biryani
24,57,Male,173.7,Biryani
28,65,Female,187,Samosa
30,75,Female,173.73,Biryani
28,56,Female,165,Biryani
20,78,Male,173,Pakora
27,88,Male,170,Samosa
28,62,Female,175,Biryani
24,75,Male,173.5,Biryani
27,85,Male,169,Biryani
37,80,Male,175.5,Samosa
28,74,Male,174,Biryani
24,45,Female,170.77,Pakora
33,74,Male,170,Biryani
29,88.2,Male,182.88,Samosa
28,77,Male,178,Biryani
26,60,Female,162,Biryani
23,68,Male,178,Pakora
30,78,Male,172,Biryani
43,85,Male,178,Biryani
26,62,Female,176,Biryani
25,70,Male,165,Samosa
21,60,Male,167.4,Biryani
26,74,Male,175,Biryani
20,48,Female,172,Biryani
22,53,Male,179,Biryani
22,64,Male,171,Samosa
20,26,Female,140,Biryani
27,59,Female,164.5,Biryani
27,96,Male,179.8,Biryani
35,64,Male,176,Samosa
27,68,Male,180,Biryani
38,72.2,Male,163.5,Pakora
25,66,Male,166,Biryani
36,68,Male,182,Pakora
20,48,Male,155,Biryani
30,50,Female,183,Biryani
24,60,Male,114,Biryani
22,50,Male,182,Samosa
27,63,Male,165,Biryani
31,60,Male,160,Pakora
26,70,Male,172,Biryani
40,80,Male,178,Biryani
25,65,Male,175,Biryani
33,56,Female,157,Samosa
