Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","92239016","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","9473","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1961","1961","tonnes","87376496","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","93852008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","9297","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1962","1962","tonnes","87257552","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","93571016","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","9658","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1963","1963","tonnes","90373008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","94306008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","9936","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1964","1964","tonnes","93706000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","93277016","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","8544","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1965","1965","tonnes","79699504","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","92729816","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","8642","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1966","1966","tonnes","80137608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","96062008","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","9937","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","1717","Cereals, Total","1967","1967","tonnes","95453504","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","98822912","A","Aggregate, may include official, semi-official, estimated or calculated data"
