Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","7858558","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","8564","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","1717","Cereals, Total","1961","1961","tonnes","6729680","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","8090856","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","8580","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","1717","Cereals, Total","1962","1962","tonnes","6941600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","8212602","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","8777","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","1717","Cereals, Total","1963","1963","tonnes","7208300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","8533549","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","8865","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","1717","Cereals, Total","1964","1964","tonnes","7565300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","8872528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","8866","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","1717","Cereals, Total","1965","1965","tonnes","7866500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","8667751","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","8400","Fc","Calculated data"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","1717","Cereals, Total","1966","1966","tonnes","7281250","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","9031397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","9042","Fc","Calculated data"
